icon name,icon image url,icon style
Accessibility Checkmark,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M12.0004 6.5C13.243 6.5 14.2504 5.49264 14.2504 4.25C14.2504 3.00736 13.243 2 12.0004 2C10.7577 2 9.75037 3.00736 9.75037 4.25C9.75037 5.49264 10.7577 6.5 12.0004 6.5ZM6.15015 4.17803C5.00701 3.69279 3.68228 4.22239 3.1887 5.36195C2.69342 6.50545 3.22266 7.82927 4.36975 8.31618L7.39345 9.59966C7.76283 9.75645 8.00271 10.1189 8.00271 10.5202V13.5597L6.12373 19.0167C5.71917 20.1916 6.34368 21.4721 7.51862 21.8766C8.69356 22.2812 9.974 21.6567 10.3786 20.4817L10.5238 20.0598C10.1869 19.2743 10.0004 18.4089 10.0004 17.5C10.0004 14.0776 12.6454 11.273 16.0027 11.0188V10.5181C16.0027 10.1168 16.2426 9.75438 16.612 9.59759L19.6308 8.31618C20.7779 7.82927 21.3071 6.50545 20.8118 5.36195C20.3183 4.22239 18.9935 3.69279 17.8504 4.17803L16.2444 4.85973C15.9037 5.00435 15.666 5.28256 15.5496 5.59067C15.0076 7.02499 13.6219 8.04295 12.0003 8.04295C10.3788 8.04295 8.99308 7.025 8.45103 5.5907C8.3346 5.2826 8.09695 5.00439 7.75625 4.85978L6.15015 4.17803ZM22.0004 17.5C22.0004 20.5376 19.5379 23 16.5004 23C13.4628 23 11.0004 20.5376 11.0004 17.5C11.0004 14.4624 13.4628 12 16.5004 12C19.5379 12 22.0004 14.4624 22.0004 17.5ZM19.8539 15.1464C19.6587 14.9512 19.3421 14.9512 19.1468 15.1464L15.5004 18.7929L13.8539 17.1464C13.6587 16.9512 13.3421 16.9512 13.1468 17.1464C12.9516 17.3417 12.9516 17.6583 13.1468 17.8536L15.1468 19.8536C15.3421 20.0488 15.6587 20.0488 15.8539 19.8536L19.8539 15.8536C20.0492 15.6583 20.0492 15.3417 19.8539 15.1464Z"" fill=""#212121""/>
</svg>
",Filled
Accessibility Checkmark,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11.4684 6.403C10.9025 6.18838 10.5002 5.64117 10.5002 5C10.5002 4.17157 11.1718 3.5 12.0002 3.5C12.8286 3.5 13.5002 4.17157 13.5002 5C13.5002 5.64127 13.0978 6.18855 12.5317 6.4031C12.1824 6.48801 11.8177 6.48797 11.4684 6.403ZM9.0002 5C9.0002 5.1352 9.00914 5.2683 9.02647 5.39876L6.15015 4.17784C5.00701 3.6926 3.68228 4.2222 3.1887 5.36177C2.69342 6.50526 3.22266 7.82908 4.36975 8.31599L8.00271 9.85809V13.5595L6.12373 19.0165C5.71917 20.1914 6.34368 21.4719 7.51862 21.8764C8.69356 22.281 9.974 21.6565 10.3786 20.4815L10.5237 20.0599C10.1868 19.2743 10.0002 18.4089 10.0002 17.5C10.0002 17.2947 10.0098 17.0917 10.0284 16.8912L8.96029 19.9932C8.82543 20.3848 8.39862 20.593 8.00697 20.4581C7.61533 20.3233 7.40716 19.8965 7.54201 19.5048L9.43461 14.0083C9.4797 13.8774 9.50271 13.7399 9.50271 13.6014V9.69262C9.50271 9.19101 9.20286 8.73798 8.74113 8.54199L4.95584 6.93523C4.57528 6.77369 4.40082 6.33732 4.56514 5.95794C4.73116 5.57464 5.17954 5.39538 5.56405 5.55859L10.535 7.66865C10.6943 7.73627 10.8571 7.79238 11.0223 7.83699C11.3288 7.94264 11.6578 8 12.0002 8C12.3424 8 12.6712 7.9427 12.9776 7.83718C13.143 7.79254 13.306 7.73636 13.4655 7.66865L18.4365 5.55859C18.821 5.39538 19.2694 5.57464 19.4354 5.95794C19.5997 6.33732 19.4253 6.77369 19.0447 6.93523L15.2643 8.53992C14.8026 8.73591 14.5027 9.18894 14.5027 9.69055V11.3127C14.9809 11.1584 15.4833 11.0581 16.0027 11.0188V9.85602L19.6308 8.31599C20.7779 7.82908 21.3071 6.50526 20.8118 5.36177C20.3183 4.2222 18.9935 3.6926 17.8504 4.17784L14.9739 5.39883C14.9913 5.26835 15.0002 5.13522 15.0002 5C15.0002 3.34315 13.6571 2 12.0002 2C10.3433 2 9.0002 3.34315 9.0002 5ZM22.0002 17.5C22.0002 20.5376 19.5378 23 16.5002 23C13.4627 23 11.0002 20.5376 11.0002 17.5C11.0002 14.4624 13.4627 12 16.5002 12C19.5378 12 22.0002 14.4624 22.0002 17.5ZM19.8538 15.1464C19.6585 14.9512 19.342 14.9512 19.1467 15.1464L15.5002 18.7929L13.8538 17.1464C13.6585 16.9512 13.342 16.9512 13.1467 17.1464C12.9514 17.3417 12.9514 17.6583 13.1467 17.8536L15.1467 19.8536C15.342 20.0488 15.6585 20.0488 15.8538 19.8536L19.8538 15.8536C20.0491 15.6583 20.0491 15.3417 19.8538 15.1464Z"" fill=""#212121""/>
</svg>
",Regular
Accessibility Error,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M12.0004 6.5C13.243 6.5 14.2504 5.49264 14.2504 4.25C14.2504 3.00736 13.243 2 12.0004 2C10.7577 2 9.75037 3.00736 9.75037 4.25C9.75037 5.49264 10.7577 6.5 12.0004 6.5ZM6.15015 4.17803C5.00701 3.69279 3.68228 4.22239 3.1887 5.36195C2.69342 6.50545 3.22266 7.82927 4.36975 8.31618L7.39345 9.59966C7.76283 9.75645 8.00271 10.1189 8.00271 10.5202V13.5597L6.12373 19.0167C5.71917 20.1916 6.34368 21.4721 7.51862 21.8766C8.69356 22.2812 9.974 21.6567 10.3786 20.4817L10.5238 20.0598C10.1869 19.2743 10.0004 18.4089 10.0004 17.5C10.0004 14.0776 12.6454 11.273 16.0027 11.0188V10.5181C16.0027 10.1168 16.2426 9.75438 16.612 9.59759L19.6308 8.31618C20.7779 7.82927 21.3071 6.50545 20.8118 5.36195C20.3183 4.22239 18.9935 3.69279 17.8504 4.17803L16.2444 4.85973C15.9037 5.00435 15.666 5.28256 15.5496 5.59067C15.0076 7.02499 13.6219 8.04295 12.0003 8.04295C10.3788 8.04295 8.99308 7.025 8.45103 5.5907C8.3346 5.2826 8.09695 5.00439 7.75625 4.85978L6.15015 4.17803ZM22.0004 17.5C22.0004 20.5376 19.5379 23 16.5004 23C13.4628 23 11.0004 20.5376 11.0004 17.5C11.0004 14.4624 13.4628 12 16.5004 12C19.5379 12 22.0004 14.4624 22.0004 17.5ZM16.5004 14C16.2242 14 16.0004 14.2239 16.0004 14.5V18.5C16.0004 18.7761 16.2242 19 16.5004 19C16.7765 19 17.0004 18.7761 17.0004 18.5V14.5C17.0004 14.2239 16.7765 14 16.5004 14ZM16.5004 21.125C16.8455 21.125 17.1254 20.8452 17.1254 20.5C17.1254 20.1548 16.8455 19.875 16.5004 19.875C16.1552 19.875 15.8754 20.1548 15.8754 20.5C15.8754 20.8452 16.1552 21.125 16.5004 21.125Z"" fill=""#212121""/>
</svg>
",Filled
Accessibility Error,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11.4684 6.403C10.9025 6.18838 10.5002 5.64117 10.5002 5C10.5002 4.17157 11.1718 3.5 12.0002 3.5C12.8286 3.5 13.5002 4.17157 13.5002 5C13.5002 5.64127 13.0978 6.18855 12.5317 6.4031C12.1824 6.48801 11.8177 6.48797 11.4684 6.403ZM9.0002 5C9.0002 5.1352 9.00914 5.2683 9.02647 5.39876L6.15015 4.17784C5.00701 3.6926 3.68228 4.2222 3.1887 5.36177C2.69342 6.50526 3.22266 7.82908 4.36975 8.31599L8.00271 9.85809V13.5595L6.12373 19.0165C5.71917 20.1914 6.34368 21.4719 7.51862 21.8764C8.69356 22.281 9.974 21.6565 10.3786 20.4815L10.5237 20.0599C10.1868 19.2743 10.0002 18.4089 10.0002 17.5C10.0002 17.2947 10.0098 17.0917 10.0284 16.8912L8.96029 19.9932C8.82543 20.3848 8.39862 20.593 8.00697 20.4581C7.61533 20.3233 7.40716 19.8965 7.54201 19.5048L9.43461 14.0083C9.4797 13.8774 9.50271 13.7399 9.50271 13.6014V9.69262C9.50271 9.19101 9.20286 8.73798 8.74113 8.54199L4.95584 6.93523C4.57528 6.77369 4.40082 6.33732 4.56514 5.95794C4.73116 5.57464 5.17954 5.39538 5.56405 5.55859L10.535 7.66865C10.6943 7.73627 10.8571 7.79238 11.0223 7.83699C11.3288 7.94264 11.6578 8 12.0002 8C12.3424 8 12.6712 7.9427 12.9776 7.83718C13.143 7.79254 13.306 7.73636 13.4655 7.66865L18.4365 5.55859C18.821 5.39538 19.2694 5.57464 19.4354 5.95794C19.5997 6.33732 19.4253 6.77369 19.0447 6.93523L15.2643 8.53992C14.8026 8.73591 14.5027 9.18894 14.5027 9.69055V11.3127C14.9809 11.1584 15.4833 11.0581 16.0027 11.0188V9.85602L19.6308 8.31599C20.7779 7.82908 21.3071 6.50526 20.8118 5.36177C20.3183 4.2222 18.9935 3.6926 17.8504 4.17784L14.9739 5.39883C14.9913 5.26835 15.0002 5.13522 15.0002 5C15.0002 3.34315 13.6571 2 12.0002 2C10.3433 2 9.0002 3.34315 9.0002 5ZM22.0002 17.5C22.0002 20.5376 19.5378 23 16.5002 23C13.4627 23 11.0002 20.5376 11.0002 17.5C11.0002 14.4624 13.4627 12 16.5002 12C19.5378 12 22.0002 14.4624 22.0002 17.5ZM16.5002 14C16.2241 14 16.0002 14.2239 16.0002 14.5V18.5C16.0002 18.7761 16.2241 19 16.5002 19C16.7764 19 17.0002 18.7761 17.0002 18.5V14.5C17.0002 14.2239 16.7764 14 16.5002 14ZM16.5002 21.125C16.8454 21.125 17.1252 20.8452 17.1252 20.5C17.1252 20.1548 16.8454 19.875 16.5002 19.875C16.1551 19.875 15.8752 20.1548 15.8752 20.5C15.8752 20.8452 16.1551 21.125 16.5002 21.125Z"" fill=""#212121""/>
</svg>
",Regular
Accessibility,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M12 6.5C13.2426 6.5 14.25 5.49264 14.25 4.25C14.25 3.00736 13.2426 2 12 2C10.7574 2 9.75 3.00736 9.75 4.25C9.75 5.49264 10.7574 6.5 12 6.5ZM6.14978 4.17803C5.00664 3.69279 3.68192 4.22239 3.18834 5.36195C2.69306 6.50545 3.2223 7.82927 4.36938 8.31617L7.39308 9.59966C7.76247 9.75645 8.00235 10.1189 8.00235 10.5202V13.5597L6.12337 19.0167C5.7188 20.1916 6.34332 21.4721 7.51826 21.8766C8.69319 22.2812 9.97364 21.6567 10.3782 20.4817L11.7636 16.4582C11.841 16.2334 12.159 16.2334 12.2364 16.4582L13.6219 20.4819C14.0264 21.6569 15.3069 22.2814 16.4818 21.8768C17.6568 21.4723 18.2813 20.1918 17.8767 19.0169L16.0023 13.56V10.5181C16.0023 10.1168 16.2422 9.75438 16.6116 9.59759L19.6304 8.31617C20.7775 7.82927 21.3068 6.50545 20.8115 5.36195C20.3179 4.22239 18.9932 3.69279 17.85 4.17803L16.244 4.85973C15.9033 5.00435 15.6657 5.28256 15.5492 5.59067C15.0072 7.02499 13.6215 8.04295 12 8.04295C10.3784 8.04295 8.99272 7.025 8.45067 5.5907C8.33423 5.2826 8.09658 5.00439 7.75589 4.85978L6.14978 4.17803Z"" fill=""#212121""/>
</svg>
",Filled
Accessibility More,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M17.8766 19.017C18.0016 19.381 18.0186 19.753 17.9606 20.108C17.7706 18.916 16.7446 18 15.5006 18C14.5106 18 13.6616 18.583 13.2566 19.419L12.2376 16.458C12.1606 16.233 11.8426 16.233 11.7646 16.458L11.1956 18.11C10.9736 18.045 10.7436 18 10.5006 18C9.12158 18 8.00058 19.121 8.00058 20.5C8.00058 21.055 8.18858 21.564 8.49558 21.979C8.17558 22.014 7.84358 21.988 7.51858 21.876C6.34358 21.472 5.71958 20.191 6.12358 19.016L8.00258 13.559V10.52C8.00258 10.119 7.76258 9.756 7.39358 9.599L4.36958 8.316C3.22258 7.829 2.69358 6.505 3.18858 5.362C3.68258 4.222 5.00658 3.693 6.14958 4.178L7.75558 4.86C8.09658 5.005 8.33358 5.283 8.45058 5.591C8.99258 7.025 10.3786 8.043 11.9996 8.043C13.6206 8.043 15.0066 7.025 15.5486 5.591C15.6656 5.283 15.9026 5.005 16.2436 4.86L17.8496 4.178C18.9926 3.693 20.3176 4.222 20.8106 5.362C21.3056 6.505 20.7766 7.829 19.6296 8.316L16.6106 9.597C16.2416 9.754 16.0016 10.116 16.0016 10.517V13.559L17.8756 19.016L17.8766 19.017ZM11.9996 6.5C13.2426 6.5 14.2496 5.493 14.2496 4.25C14.2496 3.007 13.2426 2 11.9996 2C10.7566 2 9.74958 3.007 9.74958 4.25C9.74958 5.493 10.7566 6.5 11.9996 6.5ZM10.4996 19C9.67158 19 8.99958 19.672 8.99958 20.5C8.99958 21.328 9.67158 22 10.4996 22C11.3276 22 11.9996 21.328 11.9996 20.5C11.9996 19.672 11.3276 19 10.4996 19ZM15.4996 19C14.6716 19 13.9996 19.672 13.9996 20.5C13.9996 21.328 14.6716 22 15.4996 22C16.3276 22 16.9996 21.328 16.9996 20.5C16.9996 19.672 16.3276 19 15.4996 19ZM20.4996 19C19.6716 19 18.9996 19.672 18.9996 20.5C18.9996 21.328 19.6716 22 20.4996 22C21.3276 22 21.9996 21.328 21.9996 20.5C21.9996 19.672 21.3276 19 20.4996 19Z"" fill=""#212121""/>
</svg>
",Filled
Accessibility More,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11.0676 13.87L9.58356 18.179C9.86756 18.067 10.1746 18 10.4986 18C10.7416 18 10.9716 18.046 11.1936 18.11L11.9986 15.771L13.2546 19.418C13.5036 18.904 13.9196 18.489 14.4366 18.244L12.9296 13.869C12.6256 12.985 11.3716 12.981 11.0666 13.869L11.0676 13.87ZM20.8116 5.362C20.3176 4.222 18.9936 3.693 17.8506 4.178L14.9746 5.399C14.9916 5.269 15.0006 5.135 15.0006 5C15.0006 3.343 13.6576 2 12.0006 2C10.3436 2 9.00056 3.343 9.00056 5C9.00056 5.135 9.00956 5.268 9.02656 5.399L6.15056 4.178C5.00756 3.693 3.68256 4.222 3.18956 5.362C2.69456 6.505 3.22356 7.829 4.37056 8.316L8.00356 9.858V13.559L6.12456 19.016C5.71956 20.191 6.34456 21.471 7.51956 21.876C7.84456 21.988 8.17656 22.014 8.49656 21.979C8.18956 21.564 8.00156 21.055 8.00156 20.5C8.00156 20.485 8.00556 20.471 8.00556 20.457C7.61556 20.321 7.40856 19.896 7.54256 19.505L9.43556 14.008C9.48056 13.877 9.50356 13.74 9.50356 13.601V9.692C9.50356 9.19 9.20356 8.737 8.74156 8.541L4.95656 6.934C4.57556 6.772 4.40156 6.336 4.56556 5.957C4.73156 5.574 5.17956 5.394 5.56456 5.558L10.5356 7.668C10.6946 7.736 10.8576 7.792 11.0226 7.836C11.3296 7.942 11.6576 7.999 12.0006 7.999C12.3436 7.999 12.6716 7.942 12.9776 7.836C13.1426 7.791 13.3056 7.735 13.4656 7.667L18.4366 5.557C18.8216 5.394 19.2696 5.573 19.4356 5.956C19.5996 6.335 19.4256 6.772 19.0446 6.933L15.2646 8.538C14.8026 8.734 14.5026 9.187 14.5026 9.689V13.613C14.5026 13.752 14.5256 13.889 14.5706 14.02L15.9566 18.044C16.9906 18.236 17.7946 19.063 17.9606 20.106C18.0186 19.751 18.0026 19.379 17.8766 19.015L16.0026 13.572V9.855L19.6306 8.315C20.7776 7.828 21.3066 6.505 20.8116 5.362ZM12.5306 6.403C12.1816 6.488 11.8166 6.488 11.4676 6.403C10.9016 6.188 10.4996 5.641 10.4996 5C10.4996 4.172 11.1716 3.5 11.9996 3.5C12.8276 3.5 13.4996 4.172 13.4996 5C13.4996 5.641 13.0976 6.189 12.5316 6.403H12.5306ZM11.9996 20.5C11.9996 21.328 11.3276 22 10.4996 22C9.67156 22 8.99956 21.328 8.99956 20.5C8.99956 19.672 9.67156 19 10.4996 19C11.3276 19 11.9996 19.672 11.9996 20.5ZM15.4996 22C16.3276 22 16.9996 21.328 16.9996 20.5C16.9996 19.672 16.3276 19 15.4996 19C14.6716 19 13.9996 19.672 13.9996 20.5C13.9996 21.328 14.6716 22 15.4996 22ZM20.4996 22C21.3276 22 21.9996 21.328 21.9996 20.5C21.9996 19.672 21.3276 19 20.4996 19C19.6716 19 18.9996 19.672 18.9996 20.5C18.9996 21.328 19.6716 22 20.4996 22Z"" fill=""#212121""/>
</svg>
",Regular
Accessibility Question Mark,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M12.0004 6.5C13.243 6.5 14.2504 5.49264 14.2504 4.25C14.2504 3.00736 13.243 2 12.0004 2C10.7577 2 9.75037 3.00736 9.75037 4.25C9.75037 5.49264 10.7577 6.5 12.0004 6.5ZM6.15015 4.17803C5.00701 3.69279 3.68228 4.22239 3.1887 5.36195C2.69342 6.50545 3.22266 7.82927 4.36975 8.31617L7.39345 9.59966C7.76283 9.75645 8.00271 10.1189 8.00271 10.5202V13.5597L6.12373 19.0167C5.71917 20.1916 6.34368 21.4721 7.51862 21.8766C8.69356 22.2812 9.974 21.6567 10.3786 20.4817L10.5238 20.0598C10.1869 19.2743 10.0004 18.4089 10.0004 17.5C10.0004 14.0776 12.6454 11.273 16.0027 11.0188V10.5181C16.0027 10.1168 16.2426 9.75438 16.612 9.59759L19.6308 8.31617C20.7779 7.82927 21.3071 6.50545 20.8118 5.36195C20.3183 4.22239 18.9935 3.69279 17.8504 4.17803L16.2444 4.85973C15.9037 5.00435 15.666 5.28256 15.5496 5.59067C15.0076 7.02499 13.6219 8.04295 12.0003 8.04295C10.3788 8.04295 8.99308 7.025 8.45103 5.5907C8.3346 5.2826 8.09695 5.00439 7.75625 4.85978L6.15015 4.17803ZM11.0004 17.5C11.0004 14.4624 13.4628 12 16.5004 12C19.5379 12 22.0004 14.4624 22.0004 17.5C22.0004 20.5376 19.5379 23 16.5004 23C13.4628 23 11.0004 20.5376 11.0004 17.5ZM15.7504 20.75C15.7504 21.1642 16.0862 21.5 16.5004 21.5C16.9146 21.5 17.2504 21.1642 17.2504 20.75C17.2504 20.3358 16.9146 20 16.5004 20C16.0862 20 15.7504 20.3358 15.7504 20.75ZM14.5004 16C14.5004 16.2761 14.7242 16.5 15.0004 16.5C15.2765 16.5 15.5004 16.2761 15.5004 16C15.5004 15.4477 15.9481 15 16.5004 15C17.0527 15 17.5004 15.4477 17.5004 16C17.5004 16.3706 17.4178 16.5793 17.1343 16.8975L17.0184 17.0225L16.7543 17.2921C16.2121 17.8603 16.0004 18.2695 16.0004 19C16.0004 19.2761 16.2242 19.5 16.5004 19.5C16.7765 19.5 17.0004 19.2761 17.0004 19C17.0004 18.6294 17.0829 18.4207 17.3664 18.1025L17.4823 17.9775L17.7464 17.7079C18.2886 17.1397 18.5004 16.7305 18.5004 16C18.5004 14.8954 17.6049 14 16.5004 14C15.3958 14 14.5004 14.8954 14.5004 16Z"" fill=""#212121""/>
</svg>
",Filled
Accessibility Question Mark,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M11.4684 6.403C10.9025 6.18838 10.5002 5.64117 10.5002 5C10.5002 4.17157 11.1718 3.5 12.0002 3.5C12.8286 3.5 13.5002 4.17157 13.5002 5C13.5002 5.64127 13.0978 6.18855 12.5317 6.4031C12.1824 6.48801 11.8177 6.48797 11.4684 6.403ZM9.0002 5C9.0002 5.1352 9.00914 5.2683 9.02647 5.39876L6.15015 4.17784C5.00701 3.6926 3.68228 4.2222 3.1887 5.36177C2.69342 6.50526 3.22266 7.82908 4.36975 8.31599L8.00271 9.85809V13.5595L6.12373 19.0165C5.71917 20.1914 6.34368 21.4719 7.51862 21.8764C8.69356 22.281 9.974 21.6565 10.3786 20.4815L10.5237 20.0599C10.1868 19.2743 10.0002 18.4089 10.0002 17.5C10.0002 17.2947 10.0098 17.0917 10.0284 16.8912L8.96029 19.9932C8.82543 20.3848 8.39862 20.593 8.00697 20.4581C7.61533 20.3233 7.40716 19.8965 7.54201 19.5048L9.43461 14.0083C9.4797 13.8774 9.50271 13.7399 9.50271 13.6014V9.69262C9.50271 9.19101 9.20286 8.73798 8.74113 8.54199L4.95584 6.93523C4.57528 6.77369 4.40082 6.33732 4.56514 5.95794C4.73116 5.57464 5.17954 5.39538 5.56405 5.55859L10.535 7.66865C10.6943 7.73627 10.8571 7.79238 11.0223 7.83699C11.3288 7.94264 11.6578 8 12.0002 8C12.3424 8 12.6712 7.9427 12.9776 7.83718C13.143 7.79254 13.306 7.73636 13.4655 7.66865L18.4365 5.55859C18.821 5.39538 19.2694 5.57464 19.4354 5.95794C19.5997 6.33732 19.4253 6.77369 19.0447 6.93523L15.2643 8.53992C14.8026 8.73591 14.5027 9.18894 14.5027 9.69055V11.3127C14.9809 11.1584 15.4833 11.0581 16.0027 11.0188V9.85602L19.6308 8.31599C20.7779 7.82908 21.3071 6.50526 20.8118 5.36177C20.3183 4.2222 18.9935 3.6926 17.8504 4.17784L14.9739 5.39883C14.9913 5.26835 15.0002 5.13522 15.0002 5C15.0002 3.34315 13.6571 2 12.0002 2C10.3433 2 9.0002 3.34315 9.0002 5ZM11.0002 17.5C11.0002 14.4624 13.4627 12 16.5002 12C19.5378 12 22.0002 14.4624 22.0002 17.5C22.0002 20.5376 19.5378 23 16.5002 23C13.4627 23 11.0002 20.5376 11.0002 17.5ZM15.7502 20.75C15.7502 21.1642 16.086 21.5 16.5002 21.5C16.9145 21.5 17.2502 21.1642 17.2502 20.75C17.2502 20.3358 16.9145 20 16.5002 20C16.086 20 15.7502 20.3358 15.7502 20.75ZM14.5002 16C14.5002 16.2761 14.7241 16.5 15.0002 16.5C15.2764 16.5 15.5002 16.2761 15.5002 16C15.5002 15.4477 15.948 15 16.5002 15C17.0525 15 17.5002 15.4477 17.5002 16C17.5002 16.3706 17.4177 16.5793 17.1342 16.8975L17.0183 17.0225L16.7542 17.2921C16.212 17.8603 16.0002 18.2695 16.0002 19C16.0002 19.2761 16.2241 19.5 16.5002 19.5C16.7764 19.5 17.0002 19.2761 17.0002 19C17.0002 18.6294 17.0828 18.4207 17.3663 18.1025L17.4822 17.9775L17.7463 17.7079C18.2885 17.1397 18.5002 16.7305 18.5002 16C18.5002 14.8954 17.6048 14 16.5002 14C15.3957 14 14.5002 14.8954 14.5002 16Z"" fill=""#212121""/>
</svg>
",Regular
Accessibility,"data:image/svg+xml;utf81,<svg width=""24"" height=""24"" viewBox=""0 0 24 24"" fill=""none"" xmlns=""http://www.w3.org/2000/svg"">
<path d=""M10.5 5C10.5 5.64117 10.9022 6.18838 11.4682 6.403C11.8174 6.48797 12.1822 6.48801 12.5315 6.4031C13.0975 6.18855 13.5 5.64127 13.5 5C13.5 4.17157 12.8284 3.5 12 3.5C11.1715 3.5 10.5 4.17157 10.5 5ZM9.02622 5.39876C9.0089 5.2683 8.99995 5.1352 8.99995 5C8.99995 3.34315 10.3431 2 12 2C13.6568 2 15 3.34315 15 5C15 5.13522 14.991 5.26835 14.9737 5.39883L17.8502 4.17784C18.9933 3.6926 20.318 4.2222 20.8116 5.36177C21.3069 6.50526 20.7776 7.82908 19.6306 8.31599L16.0025 9.85602V13.5732L17.8768 19.0167C18.2814 20.1916 17.6569 21.4721 16.4819 21.8766C15.307 22.2812 14.0266 21.6567 13.622 20.4818L12.0001 15.7715L10.3783 20.4815C9.97376 21.6565 8.69332 22.281 7.51838 21.8764C6.34344 21.4719 5.71892 20.1914 6.12349 19.0165L8.00247 13.5595V9.85809L4.3695 8.31599C3.22242 7.82908 2.69318 6.50526 3.18846 5.36177C3.68204 4.2222 5.00676 3.6926 6.1499 4.17784L9.02622 5.39876ZM11.022 7.83699C10.8569 7.79238 10.6941 7.73627 10.5348 7.66865L5.56381 5.55859C5.1793 5.39538 4.73092 5.57464 4.5649 5.95794C4.40058 6.33732 4.57503 6.77369 4.9556 6.93523L8.74088 8.54199C9.20262 8.73798 9.50247 9.19101 9.50247 9.69262V13.6014C9.50247 13.7399 9.47946 13.8774 9.43437 14.0083L7.54177 19.5048C7.40691 19.8965 7.61508 20.3233 8.00673 20.4581C8.39838 20.593 8.82519 20.3848 8.96004 19.9932L11.0684 13.8702C11.3739 12.9821 12.6275 12.9856 12.9318 13.8699L15.0403 19.9934C15.1751 20.3851 15.6019 20.5932 15.9936 20.4584C16.3852 20.3235 16.5934 19.8967 16.4585 19.5051L14.5706 14.022C14.5255 13.891 14.5025 13.7535 14.5025 13.615V9.69055C14.5025 9.18894 14.8023 8.73591 15.2641 8.53992L19.0445 6.93523C19.425 6.77369 19.5995 6.33732 19.4352 5.95794C19.2691 5.57464 18.8208 5.39538 18.4362 5.55859L13.4653 7.66865C13.3057 7.73636 13.1427 7.79254 12.9773 7.83718C12.671 7.9427 12.3422 8 12 8C11.6575 8 11.3285 7.94264 11.022 7.83699Z"" fill=""#212121""/>
</svg>
",Regular
